ano,sigla_uf,rede,diretoria,id_municipio,id_escola,id_escola_sp,codigo_tipo_escola,prop_aprovados_anos_inciais_ef,prop_reprovados_anos_iniciais_ef,prop_abandono_anos_iniciais_ef,prop_aprovados_anos_finais_ef,prop_reprovados_anos_finais_ef,prop_abandono_anos_finais_ef,prop_aprovados_em,prop_reprovados_em,prop_abandono_em
2011,SP,estadual,SUZANO,3552502.0,35906300,906300,,96.46017456,2.654867172,0.884955764,92.70833588,3.125,4.166666508,89.65517426,6.896551609,3.448275805
2011,SP,estadual,SANTOS,3548500.0,35909816,909816,,96.29629517,1.851851821,1.851851821,91.36690521,3.597122192,5.035971165,75.91622925,10.99476433,13.08900547
2011,SP,estadual,SANTOS,3548500.0,35038805,38805,,93.43065643,5.839416027,0.729927003,86.08247375,13.40206146,0.515463889,71.60803986,27.38693428,1.005025148
2011,SP,estadual,BOTUCATU,3506904.0,35014801,14801,,93.54838562,3.225806475,3.225806475,88.8888855,6.060606003,5.050505161,86.25730896,1.754385948,11.98830414
2012,SP,,SAO JOSE DOS CAMPOS,3549904.0,35902548,902548,,96.99,2.8,0.22,93.24,5.37,1.39,86.59,10.37,
2012,SP,,CENTRO SUL,3550308.0,35004340,4340,,89.09,4.68,6.23,74.12,15.49,10.4,62.99,16.55,20.46
2012,SP,,SUL 1,3550308.0,35041750,41750,,89.31,8.87,1.81,83.24,13.65,3.12,64.01,17.47,18.51
2012,SP,,,3550308.0,35908373,908373,,96.8,1.42,1.78,92.5,4.38,3.13,56.9,21.4,21.71
2012,SP,,SUL 2,3550308.0,35916808,916808,,98.39,0.27,1.34,87.2,9.79,3.0,63.39,27.76,8.85
2012,SP,,SUL 3,3550308.0,35902287,902287,,93.39,5.18,1.43,87.99,7.95,4.06,81.16,11.84,7.0
2012,SP,,GUARULHOS NORTE,3518800.0,35006087,6087,,90.12,4.65,5.23,82.83,10.84,6.33,78.97,10.76,10.26
2012,SP,,GUARULHOS NORTE,3518800.0,35035701,35701,,94.94,2.53,2.53,81.87,13.74,4.4,79.29,11.88,8.83
2012,SP,,SUL 3,3550308.0,35039385,39385,,97.79,0.63,1.58,84.18,10.45,5.37,77.51,10.84,11.65
2012,SP,,SUL 3,3550308.0,35035661,35661,,92.78,5.68,1.54,76.98,14.95,8.07,50.41,38.9,10.68
2012,SP,,SUL 1,3550308.0,35039317,39317,,98.01,0.36,1.62,89.33,4.09,6.58,81.85,0.76,17.39
2012,SP,,SUL 2,3550308.0,35005472,5472,,98.1,0.95,0.95,88.29,7.59,4.11,78.1,10.95,10.95
2012,SP,,SUL 2,3550308.0,35901751,901751,,97.11,1.08,1.81,81.77,9.95,8.28,51.61,30.0,18.39
2012,SP,,TABOAO DA SERRA,3515004.0,35037540,37540,,95.87,1.9,2.22,85.43,13.09,1.48,73.75,17.5,8.75
2012,SP,,CAMPINAS OESTE,3509502.0,35018491,18491,,95.27,4.14,0.59,97.6,1.6,0.8,93.24,1.45,5.31
2012,SP,,,3550308.0,35038143,38143,,94.5,3.85,1.65,82.31,10.84,6.85,73.32,,10.4
2012,SP,,,3506003.0,35040939,40939,,96.81,1.88,1.31,90.52,4.31,5.17,82.87,5.25,11.88
2012,SP,,LESTE 2,3550308.0,35003001,3001,,88.18,6.82,5.0,80.73,15.6,3.67,68.47,29.51,2.02
